index,occurrenceid,taxonid,originalname,correctedname,genus,species,uncertainty
518,498,6303,Neotoma pygmaea,Neotoma pygmaea,Neotoma,pygmaea,species
519,499,6323,Ochrotomys nuttalli,Ochrotomys nuttalli,Ochrotomys,nuttalli,species
520,500,6395,Peromyscus cochrani,Peromyscus cochrani,Peromyscus,cochrani,species
521,501,6402,Peromyscus imperfectus,Peromyscus imperfectus,Peromyscus,imperfectus,species
522,502,6404,Peromyscus leucopus/P. maniculatus,Peromyscus leucopus,Peromyscus,leucopus,species_2
523,502,6404,Peromyscus leucopus/P. maniculatus,Peromyscus maniculatus,Peromyscus,maniculatus,species_2
524,503,6407,Peromyscus nesodytes,Peromyscus nesodytes,Peromyscus,nesodytes,species
525,504,6410,Peromyscus polionotus,Peromyscus polionotus,Peromyscus,polionotus,species
526,505,6447,Podomys floridanus,Podomys floridanus,Podomys,floridanus,species
527,506,6489,Sciurus aberti,Sciurus aberti,Sciurus,aberti,species
528,507,6535,Sorex monticolus/S. vagrans,Sorex monticolus,Sorex,monticolus,species_2
529,507,6535,Sorex monticolus/S. vagrans,Sorex vagrans,Sorex,vagrans,species_2
530,508,6557,Spermophilus elegans,Spermophilus elegans,Spermophilus,elegans,species
531,509,6565,Spermophilus mohavensis,Spermophilus mohavensis,Spermophilus,mohavensis,species
532,510,6592,Sylvilagus audubonii/S. floridanus,Sylvilagus audubonii,Sylvilagus,audubonii,species_2
533,510,6592,Sylvilagus audubonii/S. floridanus,Sylvilagus floridanus,Sylvilagus,floridanus,species_2
534,511,6601,Sylvilagus transitionalis,Sylvilagus transitionalis,Sylvilagus,transitionalis,species
535,512,6615,Tamias aristus,Tamias aristus,Tamias,aristus,species
536,513,6616,Tamias canipes,Tamias canipes,Tamias,canipes,species
537,514,6622,Tamias panamintinus,Tamias panamintinus,Tamias,panamintinus,species
538,515,6661,Thomomys microdon,Thomomys microdon,Thomomys,microdon,species
539,516,6665,Thomomys scudderi,Thomomys scudderi,Thomomys,scudderi,species
540,517,6669,Thomomys vetus,Thomomys vetus,Thomomys,vetus,species
541,518,6698,Zapodinae,Zapodinae,Zapodinae,NA,family
542,519,7009,Chaetodipus californicus,Chaetodipus californicus,Chaetodipus,californicus,species
543,520,7013,Chaetodipus intermedius,Chaetodipus intermedius,Chaetodipus,intermedius,species
544,521,7074,?Perognathus flavus,Perognathus flavus,Perognathus,flavus,cf_species
545,522,7084,?Sylvilagus sp.,Sylvilagus sp.,Sylvilagus,sp.,cf_genus
546,523,7105,cf. Aplodontia rufa,Aplodontia rufa,Aplodontia,rufa,cf_species
547,524,7135,cf. Castoroides ohioensis,Castoroides ohioensis,Castoroides,ohioensis,cf_species
548,525,7162,cf. Dipodomys spectabilis,Dipodomys spectabilis,Dipodomys,spectabilis,cf_species
549,526,7186,cf. Geomys personatus,Geomys personatus,Geomys,personatus,cf_species
550,527,7189,cf. Glaucomys sabrinus,Glaucomys sabrinus,Glaucomys,sabrinus,cf_species
551,528,7191,cf. Glaucomys volans,Glaucomys volans,Glaucomys,volans,cf_species
552,529,7198,cf. Hydrochoerus holmesi,Hydrochoerus holmesi,Hydrochoerus,holmesi,cf_species
553,530,7203,cf. Leporidae,Leporidae ,Leporidae,NA,cf_species
554,531,7227,cf. Microdipodops megacephalus,Microdipodops megacephalus,Microdipodops,megacephalus,cf_species
555,532,7231,cf. Microtus mexicanus,Microtus mexicanus,Microtus,mexicanus,cf_species
556,533,7269,cf. Neotoma goldmani,Neotoma goldmani,Neotoma,goldmani,cf_species
557,534,7272,cf. Neotoma micropus,Neotoma micropus,Neotoma,micropus,cf_species
558,535,7304,cf. Chaetodipus intermedius,Chaetodipus intermedius,Chaetodipus,intermedius,cf_species
559,536,7305,cf. Chaetodipus nelsoni,Chaetodipus nelsoni,Chaetodipus,nelsoni,cf_species
560,537,7307,cf. Peromyscus boylii,Peromyscus boylii,Peromyscus,boylii,cf_species
561,538,7310,cf. Peromyscus difficilis,Peromyscus difficilis,Peromyscus,difficilis,cf_species
562,539,7311,cf. Peromyscus eremicus,Peromyscus eremicus,Peromyscus,eremicus,cf_species
563,540,7318,cf. Phenacomys sp.,Phenacomys sp.,Phenacomys,sp.,cf_genus
564,541,7330,cf. Reithrodontomys fulvescens,Reithrodontomys fulvescens,Reithrodontomys,fulvescens,cf_species
565,542,7331,cf. Reithrodontomys humulis,Reithrodontomys humulis,Reithrodontomys,humulis,cf_species
566,543,7333,cf. Reithrodontomys montanus,Reithrodontomys montanus,Reithrodontomys,montanus,cf_species
567,544,7361,cf. Sorex tenellus,Sorex tenellus,Sorex,tenellus,cf_species
568,545,7364,cf. Spermophilus armatus,Spermophilus armatus,Spermophilus,armatus,cf_species
569,546,7368,cf. Spermophilus elegans,Spermophilus elegans,Spermophilus,elegans,cf_species
570,547,7371,cf. Spermophilus mexicanus,Spermophilus mexicanus,Spermophilus,mexicanus,cf_species
571,548,7372,cf. Spermophilus mohavensis,Spermophilus mohavensis,Spermophilus,mohavensis,cf_species
572,549,7376,cf. Spermophilus tereticaudus,Spermophilus tereticaudus,Spermophilus,tereticaudus,cf_species
573,550,7427,cf. Zapus hudsonius,Zapus hudsonius,Zapus,hudsonius,cf_species
574,551,7441,Reithrodontomys megalotis/R. montanus,Reithrodontomys megalotis,Reithrodontomys,megalotis,species_2
575,551,7441,Reithrodontomys megalotis/R. montanus,Reithrodontomys montanus,Reithrodontomys,montanus,species_2
576,552,7442,Sorex merriami/S. monticolus,Sorex merriami,Sorex,merriami,species_2
577,552,7442,Sorex merriami/S. monticolus,Sorex monticolus,Sorex,monticolus,species_2
578,553,7450,Spermophilus elegans/S. richardsonii,Spermophilus elegans,Spermophilus,elegans,species_2
579,553,7450,Spermophilus elegans/S. richardsonii,Spermophilus richardsonii,Spermophilus,richardsonii,species_2
580,554,7496,Ochotona cf. O. princeps,Ochotona princeps,Ochotona,princeps,cf_species
581,555,7689,Spermophilus tridecemlineatus/S. mexicanus,Spermophilus tridecemlineatus,Spermophilus,tridecemlineatus,species_2
582,555,7689,Spermophilus tridecemlineatus/S. mexicanus,Spermophilus mexicanus,Spermophilus,mexicanus,species_2
583,556,7690,Spermophilus tridecemlineatus/S. spilosoma,Spermophilus tridecemlineatus,Spermophilus,tridecemlineatus,species_2
584,556,7690,Spermophilus tridecemlineatus/S. spilosoma,Spermophilus spilosoma,Spermophilus,spilosoma,species_2
585,557,7694,Sorex cinereus/S. haydeni,Sorex cinereus,Sorex,cinereus,species_2
586,557,7694,Sorex cinereus/S. haydeni,Sorex haydeni,Sorex,haydeni,species_2
587,558,7695,Geomys/Thomomys,Geomys sp.,Geomys,sp.,genus_2
588,558,7695,Geomys/Thomomys,Thomomys sp.,Thomomys,sp.,genus_2
589,559,7696,Geomyidae sp.,Geomyidae sp.,Geomyidae,sp.,genus
590,560,7697,Perognathus flavus/P.flavescens,Perognathus flavus,Perognathus,flavus,species_2
591,560,7697,Perognathus flavus/P.flavescens,Perognathus flavescens,Perognathus,flavescens,species_2
592,561,13789,?Synaptomys sp.,Synaptomys sp.,Synaptomys,sp.,cf_genus
593,562,17063,?Cratogeomys castanops,Cratogeomys castanops,Cratogeomys,castanops,cf_species
594,563,24722,Marmota cf. M. caligata group,Marmota caligata,Marmota,caligata,cf_species
595,564,28018,Sorex cf. S. preblei,Sorex preblei,Sorex,preblei,cf_species
596,565,28019,Sorex cf. S. monticolus,Sorex monticolus,Sorex,monticolus,cf_species
597,566,14693,Spermophilus cf. S. spilosoma,Spermophilus spilosoma,Spermophilus,spilosoma,cf_species
598,567,23623,Leporidae cf. Lepus americanus.,Leporidae americanus.,Leporidae,americanus.,cf_species
